VERIS Threat Action,MITRE ATTACK Technique,NIST 800-53 Control
action.hacking.variety.http_request_splitting,T1203,SC-18
action.hacking.variety.http_request_splitting,T1203,SC-29
action.hacking.variety.http_request_splitting,T1203,SC-30
action.hacking.variety.http_request_splitting,T1203,SC-39
action.hacking.variety.http_request_splitting,T1185,SI-3
action.hacking.variety.http_request_splitting,T1185,SI-4
action.hacking.variety.http_request_splitting,T1185,SI-7
action.hacking.variety.http_response_smuggling,T1185,AC-2
action.hacking.variety.http_response_smuggling,T1185,AC-3
action.hacking.variety.http_response_smuggling,T1203,AC-4
action.hacking.variety.http_response_smuggling,T1185,AC-5
action.hacking.variety.http_response_smuggling,T1185,AC-6
action.hacking.variety.http_response_smuggling,T1185,CA-7
action.hacking.variety.http_response_smuggling,T1185,CM-2
action.hacking.variety.http_response_smuggling,T1185,CM-5
action.hacking.variety.http_response_smuggling,T1203,CM-8
action.hacking.variety.http_response_smuggling,T1185,IA-2
action.hacking.variety.http_response_smuggling,T1203,SC-2
action.hacking.variety.http_response_smuggling,T1203,SC-3
action.hacking.variety.http_response_smuggling,T1203,SC-7
action.hacking.variety.http_response_smuggling,T1203,SC-18
action.hacking.variety.http_response_smuggling,T1203,SC-29
action.hacking.variety.http_response_smuggling,T1203,SC-30
action.hacking.variety.http_response_smuggling,T1203,SC-39
action.hacking.variety.http_response_smuggling,T1185,SI-3
action.hacking.variety.http_response_smuggling,T1185,SI-4
action.hacking.variety.http_response_smuggling,T1185,SI-7
action.hacking.variety.http_response_splitting,T1185,AC-2
action.hacking.variety.http_response_splitting,T1185,AC-3
action.hacking.variety.http_response_splitting,T1203,AC-4
action.hacking.variety.http_response_splitting,T1185,AC-5
action.hacking.variety.http_response_splitting,T1185,AC-6
action.hacking.variety.http_response_splitting,T1185,CA-7
action.hacking.variety.http_response_splitting,T1185,CM-2
action.hacking.variety.http_response_splitting,T1185,CM-5
action.hacking.variety.http_response_splitting,T1203,CM-8
action.hacking.variety.http_response_splitting,T1185,IA-2
action.hacking.variety.http_response_splitting,T1203,SC-2
action.hacking.variety.http_response_splitting,T1203,SC-3
action.hacking.variety.http_response_splitting,T1203,SC-7
action.hacking.variety.http_response_splitting,T1203,SC-18
action.hacking.variety.http_response_splitting,T1203,SC-29
action.hacking.variety.http_response_splitting,T1203,SC-30
action.hacking.variety.http_response_splitting,T1203,SC-39
action.hacking.variety.http_response_splitting,T1185,SI-3
action.hacking.variety.http_response_splitting,T1185,SI-4
action.hacking.variety.http_response_splitting,T1185,SI-7
action.hacking.variety.insecure_deserialization,T1068,AC-2
action.hacking.variety.insecure_deserialization,T1068,AC-4
action.hacking.variety.insecure_deserialization,T1068,AC-6
action.hacking.variety.insecure_deserialization,T1068,CA-7
action.hacking.variety.insecure_deserialization,T1068,CA-8
action.hacking.variety.insecure_deserialization,T1068,CM-2
action.hacking.variety.insecure_deserialization,T1068,CM-6
action.hacking.variety.insecure_deserialization,T1068,CM-7
action.hacking.variety.insecure_deserialization,T1068,CM-8
action.hacking.variety.insecure_deserialization,T1068,RA-5
action.hacking.variety.insecure_deserialization,T1068,RA-10
action.hacking.variety.insecure_deserialization,T1068,SC-2
action.hacking.variety.insecure_deserialization,T1068,SC-3
action.hacking.variety.insecure_deserialization,T1068,SC-7
action.hacking.variety.insecure_deserialization,T1068,SC-18
action.hacking.variety.insecure_deserialization,T1068,SC-26
action.hacking.variety.insecure_deserialization,T1068,SC-29
action.hacking.variety.insecure_deserialization,T1068,SC-30
action.hacking.variety.insecure_deserialization,T1068,SC-35
action.hacking.variety.insecure_deserialization,T1068,SC-39
action.hacking.variety.insecure_deserialization,T1068,SI-2
action.hacking.variety.insecure_deserialization,T1068,SI-3
action.hacking.variety.insecure_deserialization,T1068,SI-4
action.hacking.variety.insecure_deserialization,T1068,SI-5
action.hacking.variety.insecure_deserialization,T1068,SI-7
action.hacking.variety.integer_overflows,T1068,AC-2
action.hacking.variety.integer_overflows,T1068,AC-4
action.hacking.variety.integer_overflows,T1068,AC-6
action.hacking.variety.integer_overflows,T1068,CA-7
action.hacking.variety.integer_overflows,T1068,CA-8
action.hacking.variety.integer_overflows,T1068,CM-2
action.hacking.variety.integer_overflows,T1068,CM-6
action.hacking.variety.integer_overflows,T1068,CM-7
action.hacking.variety.integer_overflows,T1068,CM-8
action.hacking.variety.integer_overflows,T1068,RA-5
action.hacking.variety.integer_overflows,T1068,RA-10
action.hacking.variety.integer_overflows,T1068,SC-2
action.hacking.variety.integer_overflows,T1068,SC-3
action.hacking.variety.integer_overflows,T1068,SC-7
action.hacking.variety.integer_overflows,T1068,SC-18
action.hacking.variety.integer_overflows,T1068,SC-26
action.hacking.variety.integer_overflows,T1068,SC-29
action.hacking.variety.integer_overflows,T1068,SC-30
action.hacking.variety.integer_overflows,T1068,SC-35
action.hacking.variety.integer_overflows,T1068,SC-39
action.hacking.variety.integer_overflows,T1068,SI-2
action.hacking.variety.integer_overflows,T1068,SI-3
action.hacking.variety.integer_overflows,T1068,SI-4
action.hacking.variety.integer_overflows,T1068,SI-5
action.hacking.variety.integer_overflows,T1068,SI-7
action.hacking.variety.ldap_injection,T1068,AC-2
action.hacking.variety.ldap_injection,T1068,AC-4
action.hacking.variety.ldap_injection,T1068,AC-6
action.hacking.variety.ldap_injection,T1068,CA-7
action.hacking.variety.ldap_injection,T1068,CA-8
action.hacking.variety.ldap_injection,T1068,CM-2
action.hacking.variety.ldap_injection,T1068,CM-6
action.hacking.variety.ldap_injection,T1068,CM-7
action.hacking.variety.ldap_injection,T1068,CM-8
action.hacking.variety.ldap_injection,T1068,RA-5
action.hacking.variety.ldap_injection,T1068,RA-10
action.hacking.variety.ldap_injection,T1068,SC-2
action.hacking.variety.ldap_injection,T1068,SC-3
action.hacking.variety.ldap_injection,T1068,SC-7
action.hacking.variety.ldap_injection,T1068,SC-18
action.hacking.variety.ldap_injection,T1068,SC-26
action.hacking.variety.ldap_injection,T1068,SC-29
action.hacking.variety.ldap_injection,T1068,SC-30
action.hacking.variety.ldap_injection,T1068,SC-35
action.hacking.variety.ldap_injection,T1068,SC-39
action.hacking.variety.ldap_injection,T1068,SI-2
action.hacking.variety.ldap_injection,T1068,SI-3
action.hacking.variety.ldap_injection,T1068,SI-4
action.hacking.variety.ldap_injection,T1068,SI-5
action.hacking.variety.ldap_injection,T1068,SI-7
action.hacking.variety.mitm,T1185,AC-2
action.hacking.variety.mitm,T1557.002,AC-3
action.hacking.variety.mitm,T1557.002,AC-4
action.hacking.variety.mitm,T1185,AC-5
action.hacking.variety.mitm,T1185,AC-6
action.hacking.variety.mitm,T1557.002,AC-16
action.hacking.variety.mitm,T1557.002,AC-17
action.hacking.variety.mitm,T1557.002,AC-18
action.hacking.variety.mitm,T1557.002,AC-19
action.hacking.variety.mitm,T1557.002,AC-20
action.hacking.variety.mitm,T1557.002,CA-7
action.hacking.variety.mitm,T1557.002,CM-2
action.hacking.variety.mitm,T1185,CM-5
action.hacking.variety.mitm,T1557.002,CM-6
action.hacking.variety.mitm,T1557.002,CM-7
action.hacking.variety.mitm,T1557.002,CM-8
action.hacking.variety.mitm,T1185,IA-2
action.hacking.variety.mitm,T1539,IA-5
action.hacking.variety.mitm,T1557,RA-5
action.hacking.variety.mitm,T1557.002,SC-4
action.hacking.variety.mitm,T1557.002,SC-7
action.hacking.variety.mitm,T1557.002,SC-8
action.hacking.variety.mitm,T1557.002,SC-23
action.hacking.variety.mitm,T1557.001,SC-46
action.hacking.variety.mitm,T1557.002,SI-3
action.hacking.variety.mitm,T1557.002,SI-4
action.hacking.variety.mitm,T1557.002,SI-7
action.hacking.variety.mitm,T1557.002,SI-10
action.hacking.variety.mitm,T1557.002,SI-12
action.hacking.variety.mitm,T1557.002,SI-15
action.hacking.variety.offline_cracking,T1110.002,AC-2
action.hacking.variety.offline_cracking,T1110.002,AC-3
action.hacking.variety.offline_cracking,T1110.002,AC-5
action.hacking.variety.offline_cracking,T1110.002,AC-6
action.hacking.variety.offline_cracking,T1110.002,AC-7
action.hacking.variety.offline_cracking,T1110.002,AC-20
action.hacking.variety.offline_cracking,T1110.002,CA-7
action.hacking.variety.offline_cracking,T1110.002,CM-2
action.hacking.variety.offline_cracking,T1110.002,CM-6
action.hacking.variety.offline_cracking,T1110.002,IA-2
action.hacking.variety.offline_cracking,T1110.002,IA-4
action.hacking.variety.offline_cracking,T1110.002,IA-5
action.hacking.variety.offline_cracking,T1110.002,IA-11
action.hacking.variety.offline_cracking,T1110.002,SI-4
action.hacking.variety.pass-the-hash,T1550.002,AC-2
action.hacking.variety.pass-the-hash,T1550.002,AC-3
action.hacking.variety.pass-the-hash,T1550.002,AC-5
action.hacking.variety.pass-the-hash,T1550.002,AC-6
action.hacking.variety.pass-the-hash,T1550.002,CM-5
action.hacking.variety.pass-the-hash,T1550.002,CM-6
action.hacking.variety.pass-the-hash,T1550.002,IA-2
action.hacking.variety.pass-the-hash,T1550.002,SI-2
action.hacking.variety.routing_detour,T1557,AC-3
action.hacking.variety.routing_detour,T1557,AC-4
action.hacking.variety.routing_detour,T1557,AC-16
action.hacking.variety.routing_detour,T1557,AC-17
action.hacking.variety.routing_detour,T1557,AC-18
action.hacking.variety.routing_detour,T1557,AC-19
action.hacking.variety.routing_detour,T1557,AC-20
action.hacking.variety.routing_detour,T1557,CA-7
action.hacking.variety.routing_detour,T1557,CM-2
action.hacking.variety.routing_detour,T1557,CM-6
action.hacking.variety.routing_detour,T1557,CM-7
action.hacking.variety.routing_detour,T1557,CM-8
action.hacking.variety.routing_detour,T1557,RA-5
action.hacking.variety.routing_detour,T1557,SC-4
action.hacking.variety.routing_detour,T1557,SC-7
action.hacking.variety.routing_detour,T1557,SC-8
action.hacking.variety.routing_detour,T1557,SC-23
action.hacking.variety.routing_detour,T1557,SC-46
action.hacking.variety.routing_detour,T1557,SI-3
action.hacking.variety.routing_detour,T1557,SI-4
action.hacking.variety.routing_detour,T1557,SI-7
action.hacking.variety.routing_detour,T1557,SI-10
action.hacking.variety.routing_detour,T1557,SI-12
action.hacking.variety.routing_detour,T1557,SI-15
action.hacking.variety.session_fixation,T1185,AC-2
action.hacking.variety.session_fixation,T1185,AC-3
action.hacking.variety.session_fixation,T1212,AC-4
action.hacking.variety.session_fixation,T1185,AC-5
action.hacking.variety.session_fixation,T1185,AC-6
action.hacking.variety.session_fixation,T1185,CA-7
action.hacking.variety.session_fixation,T1212,CA-8
action.hacking.variety.session_fixation,T1185,CM-2
action.hacking.variety.session_fixation,T1185,CM-5
action.hacking.variety.session_fixation,T1212,CM-6
action.hacking.variety.session_fixation,T1212,CM-8
action.hacking.variety.session_fixation,T1185,IA-2
action.hacking.variety.session_fixation,T1212,RA-5
action.hacking.variety.session_fixation,T1212,RA-10
action.hacking.variety.session_fixation,T1212,SC-2
action.hacking.variety.session_fixation,T1212,SC-3
action.hacking.variety.session_fixation,T1212,SC-7
action.hacking.variety.session_fixation,T1212,SC-18
action.hacking.variety.session_fixation,T1212,SC-26
action.hacking.variety.session_fixation,T1212,SC-29
action.hacking.variety.session_fixation,T1212,SC-30
action.hacking.variety.session_fixation,T1212,SC-35
action.hacking.variety.session_fixation,T1212,SC-39
action.hacking.variety.session_fixation,T1212,SI-2
action.hacking.variety.session_fixation,T1185,SI-3
action.hacking.variety.session_fixation,T1185,SI-4
action.hacking.variety.session_fixation,T1212,SI-5
action.hacking.variety.session_fixation,T1185,SI-7
action.hacking.variety.soap_array_abuse,T1499,AC-3
action.hacking.variety.soap_array_abuse,T1499,AC-4
action.hacking.variety.soap_array_abuse,T1499,CA-7
action.hacking.variety.soap_array_abuse,T1499,CM-6
action.hacking.variety.soap_array_abuse,T1499,CM-7
action.hacking.variety.soap_array_abuse,T1499,SC-7
action.hacking.variety.soap_array_abuse,T1499,SI-4
action.hacking.variety.soap_array_abuse,T1499,SI-10
action.hacking.variety.soap_array_abuse,T1499,SI-15
action.hacking.variety.use_of_backdoor_or_c2,T1505,AC-2
action.hacking.variety.use_of_backdoor_or_c2,T1505,AC-3
action.hacking.variety.use_of_backdoor_or_c2,T1205,AC-4
action.hacking.variety.use_of_backdoor_or_c2,T1505,AC-5
action.hacking.variety.use_of_backdoor_or_c2,T1505,AC-6
action.hacking.variety.use_of_backdoor_or_c2,T1133,AC-7
action.hacking.variety.use_of_backdoor_or_c2,T1133,AC-17
action.hacking.variety.use_of_backdoor_or_c2,T1133,AC-20
action.hacking.variety.use_of_backdoor_or_c2,T1133,AC-23
action.hacking.variety.use_of_backdoor_or_c2,T1205,CA-7
action.hacking.variety.use_of_backdoor_or_c2,T1505,CA-8
action.hacking.variety.use_of_backdoor_or_c2,T1505,CM-2
action.hacking.variety.use_of_backdoor_or_c2,T1543,CM-3
action.hacking.variety.use_of_backdoor_or_c2,T1505,CM-5
action.hacking.variety.use_of_backdoor_or_c2,T1505,CM-6
action.hacking.variety.use_of_backdoor_or_c2,T1205,CM-7
action.hacking.variety.use_of_backdoor_or_c2,T1505,CM-8
action.hacking.variety.use_of_backdoor_or_c2,T1505,IA-2
action.hacking.variety.use_of_backdoor_or_c2,T1543,IA-4
action.hacking.variety.use_of_backdoor_or_c2,T1078,IA-5
action.hacking.variety.use_of_backdoor_or_c2,T1505,IA-9
action.hacking.variety.use_of_backdoor_or_c2,T1078,IA-12
action.hacking.variety.use_of_backdoor_or_c2,T1078,PL-8
action.hacking.variety.use_of_backdoor_or_c2,T1505,RA-5
action.hacking.variety.use_of_backdoor_or_c2,T1078,SA-3
action.hacking.variety.use_of_backdoor_or_c2,T1078,SA-4
action.hacking.variety.use_of_backdoor_or_c2,T1078,SA-8
action.hacking.variety.use_of_backdoor_or_c2,T1505,SA-10
action.hacking.variety.use_of_backdoor_or_c2,T1505,SA-11
action.hacking.variety.use_of_backdoor_or_c2,T1078,SA-12
action.hacking.variety.use_of_backdoor_or_c2,T1078,SA-15
action.hacking.variety.use_of_backdoor_or_c2,T1078,SA-16
action.hacking.variety.use_of_backdoor_or_c2,T1078,SA-17
action.hacking.variety.use_of_backdoor_or_c2,T1505,SR-11
action.hacking.variety.use_of_backdoor_or_c2,T1543,SA-22
action.hacking.variety.use_of_backdoor_or_c2,T1205,SC-7
action.hacking.variety.use_of_backdoor_or_c2,T1090,SC-8
action.hacking.variety.use_of_backdoor_or_c2,T1071,SC-10
action.hacking.variety.use_of_backdoor_or_c2,T1573.002,SC-12
action.hacking.variety.use_of_backdoor_or_c2,T1573.002,SC-16
action.hacking.variety.use_of_backdoor_or_c2,T1568,SC-20
action.hacking.variety.use_of_backdoor_or_c2,T1568,SC-21
action.hacking.variety.use_of_backdoor_or_c2,T1568,SC-22
action.hacking.variety.use_of_backdoor_or_c2,T1573.002,SC-23
action.hacking.variety.use_of_backdoor_or_c2,T1078,SC-28
action.hacking.variety.use_of_backdoor_or_c2,T1071,SC-31
action.hacking.variety.use_of_backdoor_or_c2,T1071,SC-37
action.hacking.variety.use_of_backdoor_or_c2,T1133,SC-46
action.hacking.variety.use_of_backdoor_or_c2,T1525,SI-2
action.hacking.variety.use_of_backdoor_or_c2,T1573.002,SI-3
action.hacking.variety.use_of_backdoor_or_c2,T1505,SI-4
action.hacking.variety.use_of_backdoor_or_c2,T1505,SI-7
action.hacking.variety.use_of_backdoor_or_c2,T1090,SI-10
action.hacking.variety.use_of_backdoor_or_c2,T1205,SI-15
action.hacking.variety.use_of_backdoor_or_c2,T1543,SI-16
action.hacking.variety.use_of_backdoor_or_c2,T1505,SR-4
action.hacking.variety.use_of_backdoor_or_c2,T1505,SR-5
action.hacking.variety.use_of_backdoor_or_c2,T1505,SR-6
action.hacking.variety.use_of_stolen_creds,T1078.002,AC-2
action.hacking.variety.use_of_stolen_creds,T1078.002,AC-3
action.hacking.variety.use_of_stolen_creds,T1133,AC-4
action.hacking.variety.use_of_stolen_creds,T1078.002,AC-5
action.hacking.variety.use_of_stolen_creds,T1078.002,AC-6
action.hacking.variety.use_of_stolen_creds,T1078.002,AC-7
action.hacking.variety.use_of_stolen_creds,T1021.001,AC-11
action.hacking.variety.use_of_stolen_creds,T1021.001,AC-12
action.hacking.variety.use_of_stolen_creds,T1558,AC-16
action.hacking.variety.use_of_stolen_creds,T1558,AC-17
action.hacking.variety.use_of_stolen_creds,T1558,AC-18
action.hacking.variety.use_of_stolen_creds,T1558,AC-19
action.hacking.variety.use_of_stolen_creds,T1078.002,AC-20
action.hacking.variety.use_of_stolen_creds,T1133,AC-23
action.hacking.variety.use_of_stolen_creds,T1078.001,CA-7
action.hacking.variety.use_of_stolen_creds,T1558.004,CA-8
action.hacking.variety.use_of_stolen_creds,T1558,CM-2
action.hacking.variety.use_of_stolen_creds,T1021.005,CM-3
action.hacking.variety.use_of_stolen_creds,T1078.002,CM-5
action.hacking.variety.use_of_stolen_creds,T1078.002,CM-6
action.hacking.variety.use_of_stolen_creds,T1133,CM-7
action.hacking.variety.use_of_stolen_creds,T1133,CM-8
action.hacking.variety.use_of_stolen_creds,T1078.002,IA-2
action.hacking.variety.use_of_stolen_creds,T1550.001,IA-4
action.hacking.variety.use_of_stolen_creds,T1078.002,IA-5
action.hacking.variety.use_of_stolen_creds,T1021.001,IA-6
action.hacking.variety.use_of_stolen_creds,T1078.002,IA-12
action.hacking.variety.use_of_stolen_creds,T1078,PL-8
action.hacking.variety.use_of_stolen_creds,T1558.004,RA-5
action.hacking.variety.use_of_stolen_creds,T1078.001,SA-3
action.hacking.variety.use_of_stolen_creds,T1078.001,SA-4
action.hacking.variety.use_of_stolen_creds,T1078.001,SA-8
action.hacking.variety.use_of_stolen_creds,T1078.001,SA-10
action.hacking.variety.use_of_stolen_creds,T1078.001,SA-11
action.hacking.variety.use_of_stolen_creds,T1078,SA-12
action.hacking.variety.use_of_stolen_creds,T1078.001,SA-15
action.hacking.variety.use_of_stolen_creds,T1078.001,SA-16
action.hacking.variety.use_of_stolen_creds,T1078.001,SA-17
action.hacking.variety.use_of_stolen_creds,T1134.005,SC-3
action.hacking.variety.use_of_stolen_creds,T1558,SC-4
action.hacking.variety.use_of_stolen_creds,T1133,SC-7
action.hacking.variety.use_of_stolen_creds,T1550.004,SC-8
action.hacking.variety.use_of_stolen_creds,T1021.003,SC-18
action.hacking.variety.use_of_stolen_creds,T1550.004,SC-23
action.hacking.variety.use_of_stolen_creds,T1078.001,SC-28
action.hacking.variety.use_of_stolen_creds,T1133,SC-46
action.hacking.variety.use_of_stolen_creds,T1550.002,SI-2
action.hacking.variety.use_of_stolen_creds,T1558,SI-3
action.hacking.variety.use_of_stolen_creds,T1078.002,SI-4
action.hacking.variety.use_of_stolen_creds,T1558,SI-7
action.hacking.variety.use_of_stolen_creds,T1021.002,SI-10
action.hacking.variety.use_of_stolen_creds,T1558,SI-12
action.hacking.variety.use_of_stolen_creds,T1021.002,SI-15
action.hacking.variety.virtual_machine_escape,T1611,AC-2
action.hacking.variety.virtual_machine_escape,T1611,AC-3
action.hacking.variety.virtual_machine_escape,T1611,AC-4
action.hacking.variety.virtual_machine_escape,T1611,AC-5
action.hacking.variety.virtual_machine_escape,T1611,AC-6
action.hacking.variety.virtual_machine_escape,T1611,CM-5
action.hacking.variety.virtual_machine_escape,T1611,CM-6
action.hacking.variety.virtual_machine_escape,T1611,CM-7
action.hacking.variety.virtual_machine_escape,T1611,IA-2
action.hacking.variety.virtual_machine_escape,T1611,SC-2
action.hacking.variety.virtual_machine_escape,T1611,SC-3
action.hacking.variety.virtual_machine_escape,T1611,SC-7
action.hacking.variety.virtual_machine_escape,T1611,SC-18
action.hacking.variety.virtual_machine_escape,T1611,SC-34
action.hacking.variety.virtual_machine_escape,T1611,SC-39
action.hacking.variety.virtual_machine_escape,T1611,SI-2
action.hacking.variety.virtual_machine_escape,T1611,SI-3
action.hacking.variety.virtual_machine_escape,T1611,SI-4
action.hacking.variety.virtual_machine_escape,T1611,SI-7
action.hacking.variety.virtual_machine_escape,T1611,SI-16
action.hacking.variety.xml_attribute_blowup,T1499,AC-3
action.hacking.variety.xml_attribute_blowup,T1499,AC-4
action.hacking.variety.xml_attribute_blowup,T1499,CA-7
action.hacking.variety.xml_attribute_blowup,T1499,CM-6
action.hacking.variety.xml_attribute_blowup,T1499,CM-7
action.hacking.variety.xml_attribute_blowup,T1499,SC-7
action.hacking.variety.xml_attribute_blowup,T1499,SI-4
action.hacking.variety.xml_attribute_blowup,T1499,SI-10
action.hacking.variety.xml_attribute_blowup,T1499,SI-15
action.hacking.variety.xml_entity_expansion,T1499,AC-3
action.hacking.variety.xml_entity_expansion,T1499,AC-4
action.hacking.variety.xml_entity_expansion,T1499,CA-7
action.hacking.variety.xml_entity_expansion,T1499,CM-6
action.hacking.variety.xml_entity_expansion,T1499,CM-7
action.hacking.variety.xml_entity_expansion,T1499,SC-7
action.hacking.variety.xml_entity_expansion,T1499,SI-4
action.hacking.variety.xml_entity_expansion,T1499,SI-10
action.hacking.variety.xml_entity_expansion,T1499,SI-15
action.hacking.variety.xml_external_entities,T1213,AC-2
action.hacking.variety.xml_external_entities,T1213,AC-3
action.hacking.variety.xml_external_entities,T1213,AC-4
action.hacking.variety.xml_external_entities,T1213,AC-5
action.hacking.variety.xml_external_entities,T1213,AC-6
action.hacking.variety.xml_external_entities,T1213,AC-16
action.hacking.variety.xml_external_entities,T1213,AC-17
action.hacking.variety.xml_external_entities,T1213,AC-21
action.hacking.variety.xml_external_entities,T1213,AC-23
action.hacking.variety.xml_external_entities,T1213,CA-7
action.hacking.variety.xml_external_entities,T1213,CA-8
action.hacking.variety.xml_external_entities,T1213,CM-2
action.hacking.variety.xml_external_entities,T1213,CM-3
action.hacking.variety.xml_external_entities,T1213,CM-5
action.hacking.variety.xml_external_entities,T1213,CM-6
action.hacking.variety.xml_external_entities,T1213,CM-7
action.hacking.variety.xml_external_entities,T1213,CM-8
action.hacking.variety.xml_external_entities,T1213,IA-2
action.hacking.variety.xml_external_entities,T1213,IA-4
action.hacking.variety.xml_external_entities,T1213,IA-8
action.hacking.variety.xml_external_entities,T1213,RA-5
action.hacking.variety.xml_external_entities,T1499,SC-7
action.hacking.variety.xml_external_entities,T1213,SC-28
action.hacking.variety.xml_external_entities,T1213,SI-4
action.hacking.variety.xml_external_entities,T1213,SI-7
action.hacking.variety.xml_external_entities,T1499,SI-10
action.hacking.variety.xml_external_entities,T1499,SI-15
action.hacking.variety.xml_injection,T1574,AC-2
action.hacking.variety.xml_injection,T1574,AC-3
action.hacking.variety.xml_injection,T1574,AC-4
action.hacking.variety.xml_injection,T1574,AC-5
action.hacking.variety.xml_injection,T1574,AC-6
action.hacking.variety.xml_injection,T1574,CA-7
action.hacking.variety.xml_injection,T1574,CA-8
action.hacking.variety.xml_injection,T1574,CM-2
action.hacking.variety.xml_injection,T1574,CM-5
action.hacking.variety.xml_injection,T1574,CM-6
action.hacking.variety.xml_injection,T1574,CM-7
action.hacking.variety.xml_injection,T1574,CM-8
action.hacking.variety.xml_injection,T1574,IA-2
action.hacking.variety.xml_injection,T1546,IA-9
action.hacking.variety.xml_injection,T1574,RA-5
action.hacking.variety.xml_injection,T1574,SI-2
action.hacking.variety.xml_injection,T1574,SI-3
action.hacking.variety.xml_injection,T1574,SI-4
action.hacking.variety.xml_injection,T1574,SI-7
action.hacking.variety.xml_injection,T1574,SI-10
action.hacking.variety.unknown,T1574,AC-2
action.hacking.variety.unknown,T1574,AC-3
action.hacking.variety.unknown,T1574,AC-4
action.hacking.variety.unknown,T1574,AC-5
action.hacking.variety.unknown,T1574,AC-6
action.hacking.variety.unknown,T1111,CA-7
action.hacking.variety.unknown,T1574,CA-8
action.hacking.variety.unknown,T1127,CM-2
action.hacking.variety.unknown,T1574,CM-5
action.hacking.variety.unknown,T1127,CM-6
action.hacking.variety.unknown,T1127,CM-7
action.hacking.variety.unknown,T1127,CM-8
action.hacking.variety.unknown,T1111,IA-2
action.hacking.variety.unknown,T1111,IA-5
action.hacking.variety.unknown,T1127,RA-5
action.hacking.variety.unknown,T1574.002,SA-3
action.hacking.variety.unknown,T1574.002,SA-4
action.hacking.variety.unknown,T1574.002,SA-8
action.hacking.variety.unknown,T1574.002,SA-10
action.hacking.variety.unknown,T1574.002,SA-11
action.hacking.variety.unknown,T1574.002,SA-15
action.hacking.variety.unknown,T1574.002,SA-16
action.hacking.variety.unknown,T1574.002,SA-17
action.hacking.variety.unknown,T1599.001,SC-7
action.hacking.variety.unknown,T1599.001,SC-28
action.hacking.variety.unknown,T1574,SI-2
action.hacking.variety.unknown,T1111,SI-3
action.hacking.variety.unknown,T1127,SI-4
action.hacking.variety.unknown,T1127,SI-7
action.hacking.variety.unknown,T1127,SI-10
action.hacking.variety.unknown,T1599.001,SI-15
action.hacking.vector.3rd_party_desktop,T1133,AC-3
action.hacking.vector.3rd_party_desktop,T1133,AC-4
action.hacking.vector.3rd_party_desktop,T1133,AC-6
action.hacking.vector.3rd_party_desktop,T1133,AC-7
action.hacking.vector.3rd_party_desktop,T1133,AC-17
action.hacking.vector.3rd_party_desktop,T1133,AC-20
action.hacking.vector.3rd_party_desktop,T1133,AC-23
action.hacking.vector.3rd_party_desktop,T1133,CM-2
action.hacking.vector.3rd_party_desktop,T1133,CM-6
action.hacking.vector.3rd_party_desktop,T1133,CM-7
action.hacking.vector.3rd_party_desktop,T1133,CM-8
action.hacking.vector.3rd_party_desktop,T1133,IA-2
action.hacking.vector.3rd_party_desktop,T1133,IA-5
action.hacking.vector.3rd_party_desktop,T1133,RA-5
action.hacking.vector.3rd_party_desktop,T1133,SC-7
action.hacking.vector.3rd_party_desktop,T1133,SC-46
action.hacking.vector.3rd_party_desktop,T1133,SI-4
action.hacking.vector.3rd_party_desktop,T1133,SI-7
action.hacking.vector.backdoor_or_c2,T1197,AC-2
action.hacking.vector.backdoor_or_c2,T1197,AC-3
action.hacking.vector.backdoor_or_c2,T1104,AC-4
action.hacking.vector.backdoor_or_c2,T1197,AC-5
action.hacking.vector.backdoor_or_c2,T1197,AC-6
action.hacking.vector.backdoor_or_c2,T1133,AC-7
action.hacking.vector.backdoor_or_c2,T1137,AC-10
action.hacking.vector.backdoor_or_c2,T1133,AC-17
action.hacking.vector.backdoor_or_c2,T1133,AC-20
action.hacking.vector.backdoor_or_c2,T1133,AC-23
action.hacking.vector.backdoor_or_c2,T1104,CA-7
action.hacking.vector.backdoor_or_c2,T1554,CA-8
action.hacking.vector.backdoor_or_c2,T1104,CM-2
action.hacking.vector.backdoor_or_c2,T1542,CM-3
action.hacking.vector.backdoor_or_c2,T1197,CM-5
action.hacking.vector.backdoor_or_c2,T1104,CM-6
action.hacking.vector.backdoor_or_c2,T1104,CM-7
action.hacking.vector.backdoor_or_c2,T1574,CM-8
action.hacking.vector.backdoor_or_c2,T1197,IA-2
action.hacking.vector.backdoor_or_c2,T1053,IA-4
action.hacking.vector.backdoor_or_c2,T1133,IA-5
action.hacking.vector.backdoor_or_c2,T1542,IA-7
action.hacking.vector.backdoor_or_c2,T1053,IA-8
action.hacking.vector.backdoor_or_c2,T1554,IA-9
action.hacking.vector.backdoor_or_c2,T1078,IA-12
action.hacking.vector.backdoor_or_c2,T1078,PL-8
action.hacking.vector.backdoor_or_c2,T1574,RA-5
action.hacking.vector.backdoor_or_c2,T1078,SA-3
action.hacking.vector.backdoor_or_c2,T1078,SA-4
action.hacking.vector.backdoor_or_c2,T1078,SA-8
action.hacking.vector.backdoor_or_c2,T1505,SA-10
action.hacking.vector.backdoor_or_c2,T1505,SA-11
action.hacking.vector.backdoor_or_c2,T1078,SA-12
action.hacking.vector.backdoor_or_c2,T1078,SA-15
action.hacking.vector.backdoor_or_c2,T1078,SA-16
action.hacking.vector.backdoor_or_c2,T1078,SA-17
action.hacking.vector.backdoor_or_c2,T1554,SR-11
action.hacking.vector.backdoor_or_c2,T1543,SA-22
