victim.orgsize,action,actor,victim.region,victim.industry.name,attribute,incident,IDnum
small,error,internal,na,information,i,F,1059
large,misuse,internal,lac,public,c,T,1060
unknown,misuse,internal,na,information,i,F,1061
small,social,external,na,healthcare,i,T,1062
unknown,social,partner,na,accommodation,a,F,1063
small,misuse,external,na,public,c,F,1064
unknown,error,external,apac,public,c,T,1065
large,malware,internal,apac,professional,a,F,1066
large,social,internal,na,otherservices,a,F,1067
small,hacking,external,lac,administrative,i,F,1068
small,misuse,internal,na,public,c,T,1069
unknown,misuse,internal,apac,accommodation,c,F,1070
small,error,internal,apac,retail,c,T,1071
large,error,internal,emea,construction,a,F,1072
unknown,hacking,partner,na,educational,a,F,1073
large,error,internal,emea,healthcare,c,T,1074
unknown,hacking,external,apac,transportation,a,F,1075
large,hacking,external,lac,transportation,i,F,1076
small,social,external,na,information,i,T,1077
small,malware,external,na,educational,i,T,1078
large,misuse,partner,apac,educational,i,F,1079
unknown,error,internal,apac,manufacturing,a,F,1080
small,unknown,external,na,finance,i,T,1081
large,error,internal,na,healthcare,c,T,1082
small,malware,external,na,healthcare,i,T,1083
large,hacking,partner,na,manufacturing,a,F,1084
large,error,internal,apac,healthcare,c,T,1085
large,malware,external,emea,entertainment,a,F,1086
small,malware,internal,na,manufacturing,c,F,1087
small,error,internal,apac,healthcare,c,T,1088
unknown,misuse,partner,na,healthcare,c,F,1089
large,error,internal,na,information,c,T,1090
unknown,misuse,internal,na,public,c,T,1091
small,hacking,external,na,professional,i,T,1092
unknown,error,internal,emea,public,c,T,1093
small,misuse,internal,emea,utilities,c,F,1094
small,hacking,external,apac,finance,c,T,1095
small,malware,partner,lac,information,c,F,1096
large,error,external,emea,accommodation,c,F,1097
large,malware,external,emea,utilities,a,F,1098
unknown,misuse,partner,emea,realestate,a,F,1099
large,hacking,external,na,information,i,T,1100
small,malware,internal,na,trade,i,F,1101
small,malware,external,apac,information,i,T,1102
small,hacking,external,na,information,c,T,1103
large,misuse,internal,na,public,i,F,1104
large,unknown,internal,emea,healthcare,c,T,1105
small,hacking,external,na,professional,c,T,1106
large,error,internal,na,information,c,T,1107
unknown,malware,partner,na,otherservices,a,F,1108
small,error,internal,na,public,c,T,1109
small,error,internal,na,educational,c,T,1110
small,malware,partner,na,manufacturing,a,F,1111
small,social,external,na,public,i,T,1112
small,error,internal,apac,administrative,c,T,1113
small,malware,internal,na,utilities,a,F,1114
large,misuse,internal,na,healthcare,c,T,1115
large,hacking,internal,lac,retail,a,F,1116
unknown,unknown,external,apac,healthcare,c,T,1117
large,hacking,external,na,accommodation,c,T,1118
unknown,error,internal,lac,trade,c,F,1119
large,unknown,external,na,public,i,T,1120
large,malware,internal,na,utilities,i,F,1121
unknown,social,external,lac,administrative,a,F,1122
unknown,error,internal,emea,finance,c,T,1123
large,hacking,external,emea,information,c,T,1124
large,error,internal,emea,public,c,T,1125
small,malware,external,lac,professional,c,F,1126
large,social,partner,emea,entertainment,c,F,1127
large,misuse,partner,lac,educational,i,F,1128
large,misuse,external,lac,healthcare,i,F,1129
unknown,malware,external,apac,realestate,i,F,1130
unknown,error,partner,lac,finance,c,T,1131
small,malware,external,apac,retail,i,T,1132
small,hacking,partner,lac,administrative,i,F,1133
small,social,external,na,accommodation,a,F,1134
small,hacking,external,na,information,i,T,1135
unknown,misuse,partner,apac,finance,a,F,1136
unknown,misuse,internal,lac,manufacturing,i,F,1137
unknown,hacking,external,apac,public,c,T,1138
large,error,internal,na,finance,c,T,1139
small,misuse,internal,na,healthcare,c,T,1140
large,error,internal,lac,information,c,T,1141
small,misuse,internal,na,healthcare,i,T,1142
small,misuse,external,na,professional,i,T,1143
small,malware,external,emea,agriculture,i,F,1144
unknown,hacking,external,global,administrative,c,T,1145
large,error,internal,emea,public,c,T,1146
large,social,partner,apac,agriculture,a,F,1147
small,error,partner,emea,management,c,F,1148
small,error,internal,na,educational,c,T,1149
large,error,unknown,na,healthcare,c,T,1150
small,misuse,partner,lac,otherservices,i,F,1151
large,social,partner,apac,otherservices,c,F,1152
unknown,social,external,apac,transportation,i,F,1153
large,misuse,external,apac,realestate,c,F,1154
unknown,malware,internal,lac,transportation,a,F,1155
small,error,internal,na,information,c,T,1156
large,error,internal,apac,public,c,T,1157
large,misuse,internal,emea,finance,i,T,1158
unknown,error,internal,apac,realestate,a,F,1159
small,misuse,partner,apac,finance,c,F,1160
unknown,error,partner,na,public,c,T,1161
large,hacking,external,emea,retail,c,T,1162
unknown,misuse,internal,na,public,c,T,1163
small,malware,internal,emea,agriculture,i,F,1164
unknown,hacking,external,emea,information,c,T,1165
small,hacking,external,na,healthcare,c,T,1166
unknown,malware,partner,apac,information,i,F,1167
unknown,error,internal,na,public,c,T,1168
unknown,misuse,internal,na,public,c,T,1169
unknown,error,internal,lac,management,i,F,1170
large,hacking,external,na,information,c,T,1171
unknown,error,internal,emea,healthcare,c,T,1172
small,social,external,na,healthcare,i,T,1173
unknown,malware,external,lac,retail,a,F,1174
unknown,social,partner,emea,agriculture,i,F,1175
unknown,error,internal,emea,healthcare,c,T,1176
small,hacking,external,apac,realestate,c,F,1177
small,misuse,external,emea,construction,a,F,1178
unknown,error,internal,na,healthcare,c,T,1179
large,hacking,external,na,educational,c,T,1180
large,misuse,partner,lac,transportation,c,F,1181
small,unknown,external,na,retail,i,T,1182
small,error,internal,apac,healthcare,c,T,1183
large,social,external,na,finance,i,T,1184
unknown,error,internal,na,public,c,T,1185
large,misuse,internal,lac,management,a,F,1186
small,unknown,external,na,finance,c,T,1187
small,error,external,apac,trade,a,F,1188
small,error,internal,na,educational,i,F,1189
unknown,malware,partner,na,accommodation,a,F,1190
small,hacking,external,apac,retail,i,F,1191
small,misuse,internal,apac,public,c,T,1192
large,hacking,partner,lac,administrative,a,F,1193
unknown,error,internal,na,public,c,T,1194
large,error,internal,emea,public,c,T,1195
large,hacking,external,na,public,c,T,1196
small,error,partner,apac,information,c,F,1197
small,misuse,internal,na,educational,c,T,1198
large,error,internal,apac,public,c,T,1199
unknown,error,external,na,transportation,i,F,1200
small,hacking,partner,emea,finance,i,F,1201
small,misuse,internal,emea,finance,c,T,1202
small,error,partner,na,finance,c,T,1203
small,error,partner,lac,realestate,i,F,1204
small,hacking,internal,lac,information,a,F,1205
large,hacking,external,na,healthcare,c,T,1206
unknown,hacking,external,na,information,c,T,1207
unknown,social,internal,emea,healthcare,a,F,1208
large,misuse,external,lac,agriculture,a,F,1209
small,hacking,partner,apac,administrative,i,F,1210
large,social,external,na,educational,i,T,1211
small,hacking,external,na,retail,c,T,1212
unknown,hacking,external,apac,public,i,F,1213
unknown,malware,external,apac,construction,c,F,1214
small,unknown,external,na,healthcare,c,T,1215
small,unknown,external,na,retail,i,T,1216
small,error,external,na,mining,a,F,1217
unknown,social,external,apac,educational,i,T,1218
unknown,social,internal,lac,information,a,F,1219
large,error,internal,na,entertainment,i,T,1220
small,hacking,partner,lac,accommodation,c,F,1221
unknown,misuse,external,emea,retail,c,F,1222
small,error,internal,na,finance,c,T,1223
small,misuse,internal,na,retail,i,T,1224
unknown,malware,internal,apac,construction,a,F,1225
large,misuse,partner,na,healthcare,c,T,1226
large,error,internal,na,information,c,T,1227
large,error,internal,lac,healthcare,a,F,1228
unknown,social,external,na,information,a,F,1229
unknown,error,internal,emea,public,c,T,1230
unknown,malware,internal,apac,trade,i,F,1231
small,hacking,internal,na,educational,c,T,1232
unknown,error,partner,apac,retail,a,F,1233
large,error,internal,na,professional,i,F,1234
large,hacking,external,na,information,c,T,1235
large,social,internal,na,realestate,i,F,1236
large,misuse,external,na,otherservices,i,F,1237
large,malware,partner,apac,healthcare,i,F,1238
small,error,internal,na,healthcare,a,F,1239
unknown,misuse,external,apac,accommodation,i,F,1240
large,misuse,internal,na,public,c,T,1241
large,hacking,external,na,public,c,T,1242
large,error,internal,emea,information,c,T,1243
small,misuse,internal,emea,management,a,F,1244
large,misuse,internal,apac,information,c,T,1245
small,misuse,internal,na,healthcare,c,T,1246
large,error,internal,apac,administrative,i,F,1247
small,error,internal,na,otherservices,c,F,1248
small,malware,external,lac,entertainment,i,F,1249
unknown,misuse,internal,lac,mining,c,F,1250
unknown,error,internal,emea,professional,c,F,1251
large,social,internal,na,public,c,F,1252
small,misuse,internal,na,healthcare,c,T,1253
large,error,internal,emea,healthcare,c,T,1254
large,malware,external,emea,realestate,c,F,1255
large,hacking,external,emea,information,i,T,1256
large,error,internal,na,healthcare,i,F,1257
unknown,error,partner,apac,management,i,F,1258
large,social,internal,na,information,c,F,1259
small,malware,internal,apac,professional,c,F,1260
small,misuse,internal,na,retail,c,T,1261
small,error,external,lac,realestate,a,F,1262
large,misuse,partner,lac,public,c,F,1263
small,error,external,emea,administrative,c,F,1264
large,error,internal,na,public,c,T,1265
unknown,error,external,na,healthcare,a,F,1266
unknown,misuse,external,na,healthcare,i,T,1267
small,error,internal,apac,healthcare,c,T,1268
small,error,internal,na,public,c,T,1269
small,misuse,internal,emea,retail,a,F,1270
large,error,internal,apac,healthcare,a,F,1271
unknown,malware,internal,emea,professional,i,F,1272
large,unknown,external,emea,public,c,T,1273
unknown,misuse,partner,na,educational,i,F,1274
small,error,internal,na,healthcare,c,T,1275
small,error,internal,na,utilities,i,F,1276
small,hacking,external,apac,information,c,T,1277
small,misuse,internal,na,manufacturing,c,T,1278
small,hacking,external,lac,accommodation,c,F,1279
unknown,misuse,external,emea,mining,i,F,1280
small,malware,external,na,information,i,T,1281
large,malware,partner,emea,professional,c,F,1282
small,social,external,emea,retail,c,F,1283
large,error,internal,na,public,c,T,1284
small,hacking,external,na,information,c,T,1285
small,error,internal,emea,agriculture,a,F,1286
large,error,internal,na,healthcare,c,T,1287
small,misuse,internal,emea,transportation,a,F,1288
small,error,internal,na,realestate,c,T,1289
small,hacking,internal,apac,finance,c,F,1290
unknown,malware,internal,emea,finance,i,F,1291
large,error,internal,na,educational,c,T,1292
unknown,hacking,internal,apac,educational,c,F,1293
small,hacking,partner,lac,administrative,c,F,1294
large,misuse,internal,na,public,c,T,1295
unknown,hacking,external,na,professional,c,T,1296
small,error,internal,na,information,c,T,1297
small,social,external,apac,administrative,i,F,1298
large,social,external,na,healthcare,i,T,1299
small,error,internal,apac,information,c,T,1300
large,misuse,internal,emea,healthcare,i,T,1301
small,social,external,na,healthcare,i,T,1302
small,hacking,external,na,healthcare,c,T,1303
small,social,external,na,healthcare,i,T,1304
unknown,error,partner,na,finance,c,T,1305
small,social,external,emea,public,i,T,1306
large,unknown,external,na,finance,i,T,1307
small,hacking,external,na,healthcare,c,T,1308
small,malware,internal,lac,entertainment,a,F,1309
unknown,malware,partner,lac,information,c,F,1310
large,hacking,partner,na,trade,i,F,1311
small,malware,partner,emea,agriculture,i,F,1312
large,misuse,internal,na,healthcare,c,T,1313
unknown,misuse,partner,lac,transportation,a,F,1314
large,hacking,partner,na,healthcare,c,F,1315
large,hacking,external,na,finance,c,T,1316
small,misuse,partner,na,educational,c,F,1317
large,error,internal,emea,finance,c,T,1318
unknown,error,internal,na,public,c,T,1319
large,error,internal,na,public,c,T,1320
unknown,social,partner,apac,otherservices,c,F,1321
small,error,internal,na,healthcare,c,T,1322
large,social,partner,apac,educational,a,F,1323
small,error,internal,na,healthcare,c,T,1324
unknown,error,external,lac,utilities,c,F,1325
unknown,misuse,internal,apac,public,i,T,1326
small,misuse,internal,na,healthcare,c,T,1327
large,hacking,external,na,information,c,T,1328
large,social,external,apac,accommodation,c,F,1329
large,social,external,na,healthcare,i,T,1330
small,unknown,external,na,administrative,c,T,1331
small,malware,internal,apac,realestate,a,F,1332
large,social,external,na,healthcare,i,T,1333
small,misuse,partner,na,healthcare,i,T,1334
small,error,internal,na,healthcare,c,T,1335
small,misuse,external,apac,finance,i,F,1336
large,hacking,external,na,manufacturing,c,T,1337
small,unknown,external,na,public,c,T,1338
large,malware,internal,na,manufacturing,i,F,1339
large,error,internal,emea,educational,c,T,1340
large,misuse,internal,emea,information,c,F,1341
large,hacking,external,na,public,a,F,1342
unknown,malware,external,apac,educational,a,F,1343
large,misuse,partner,lac,trade,c,F,1344
small,unknown,external,na,retail,i,T,1345
large,misuse,external,apac,educational,c,F,1346
small,unknown,external,na,retail,c,T,1347
large,error,internal,lac,agriculture,c,F,1348
large,misuse,external,na,agriculture,i,F,1349
small,malware,external,apac,information,i,F,1350
large,hacking,internal,lac,healthcare,c,F,1351
large,misuse,internal,apac,professional,i,F,1352
unknown,hacking,internal,emea,otherservices,a,F,1353
unknown,hacking,external,na,professional,c,T,1354
large,hacking,partner,emea,trade,i,F,1355
large,misuse,internal,na,public,c,T,1356
small,hacking,external,na,realestate,c,T,1357
unknown,social,internal,na,transportation,i,F,1358
small,hacking,external,na,healthcare,c,T,1359
unknown,misuse,internal,apac,healthcare,i,F,1360
small,unknown,external,na,retail,i,T,1361
small,malware,external,na,healthcare,i,T,1362
large,hacking,external,emea,retail,c,T,1363
unknown,misuse,partner,lac,agriculture,c,F,1364
unknown,malware,internal,na,administrative,i,F,1365
small,hacking,external,global,otherservices,c,T,1366
small,error,internal,emea,entertainment,c,T,1367
unknown,error,internal,na,healthcare,i,F,1368
unknown,malware,external,na,healthcare,i,T,1369
large,error,internal,lac,public,c,T,1370
small,error,external,na,professional,a,F,1371
large,social,external,na,healthcare,i,T,1372
small,error,partner,na,healthcare,c,T,1373
large,misuse,internal,na,healthcare,c,T,1374
small,hacking,external,na,information,c,T,1375
small,misuse,external,na,trade,c,F,1376
large,misuse,internal,na,healthcare,c,T,1377
large,misuse,external,na,public,c,T,1378
unknown,malware,external,apac,administrative,c,F,1379
unknown,social,external,lac,educational,c,F,1380
small,misuse,internal,na,realestate,c,F,1381
unknown,misuse,external,emea,mining,c,F,1382
large,misuse,external,na,entertainment,c,F,1383
unknown,misuse,internal,emea,finance,c,T,1384
unknown,hacking,external,global,unknown,c,T,1385
large,hacking,partner,emea,healthcare,a,F,1386
large,social,external,apac,utilities,i,F,1387
small,hacking,external,na,otherservices,c,T,1388
small,error,internal,na,healthcare,c,T,1389
large,error,partner,na,healthcare,c,T,1390
large,social,external,lac,retail,c,F,1391
large,hacking,external,apac,finance,c,T,1392
large,hacking,external,na,trade,i,T,1393
unknown,error,internal,emea,transportation,a,F,1394
small,error,internal,na,retail,c,T,1395
large,error,partner,na,information,c,T,1396
small,malware,external,na,public,i,T,1397
small,misuse,partner,lac,transportation,i,F,1398
unknown,error,internal,apac,information,c,T,1399
large,misuse,internal,na,administrative,c,F,1400
unknown,social,external,na,educational,i,T,1401
large,error,internal,apac,utilities,a,F,1402
unknown,error,internal,apac,retail,c,T,1403
unknown,misuse,internal,apac,finance,i,F,1404
large,error,external,na,entertainment,c,F,1405
small,error,internal,na,educational,c,T,1406
small,hacking,external,na,information,c,T,1407
small,misuse,internal,emea,administrative,c,F,1408
unknown,misuse,internal,na,finance,i,T,1409
small,unknown,external,na,mining,i,T,1410
large,social,partner,lac,entertainment,a,F,1411
unknown,error,external,lac,professional,a,F,1412
small,hacking,partner,na,finance,c,F,1413
small,malware,partner,apac,retail,a,F,1414
unknown,misuse,internal,apac,public,c,T,1415
unknown,malware,partner,lac,educational,c,F,1416
unknown,misuse,external,global,otherservices,c,T,1417
large,error,internal,na,healthcare,c,T,1418
large,hacking,partner,lac,agriculture,c,F,1419
small,hacking,external,na,otherservices,c,T,1420
large,error,internal,apac,public,i,T,1421
large,social,external,na,public,i,T,1422
small,error,external,na,entertainment,c,F,1423
unknown,hacking,partner,emea,otherservices,a,F,1424
small,misuse,internal,na,healthcare,c,T,1425
small,unknown,external,na,realestate,c,T,1426
small,hacking,partner,na,healthcare,c,F,1427
small,error,internal,na,healthcare,c,T,1428
small,malware,internal,na,entertainment,i,F,1429
small,error,internal,na,entertainment,c,T,1430
unknown,misuse,external,na,management,i,F,1431
large,hacking,external,apac,public,c,T,1432
large,error,partner,na,healthcare,c,T,1433
small,hacking,external,na,management,i,F,1434
small,misuse,internal,na,public,c,T,1435
large,malware,external,na,accommodation,i,T,1436
large,unknown,internal,na,healthcare,c,T,1437
large,error,partner,na,healthcare,c,T,1438
large,hacking,external,na,educational,c,T,1439
small,error,internal,apac,professional,c,T,1440
large,misuse,internal,emea,public,c,T,1441
small,error,internal,apac,public,c,T,1442
small,social,internal,lac,accommodation,i,F,1443
unknown,misuse,external,lac,manufacturing,c,F,1444
small,unknown,external,na,retail,i,T,1445
large,error,partner,emea,public,c,F,1446
small,unknown,external,na,retail,i,T,1447
large,social,internal,apac,agriculture,c,F,1448
small,misuse,internal,na,healthcare,i,T,1449
small,error,internal,na,public,c,T,1450
small,error,internal,emea,realestate,i,F,1451
small,unknown,external,na,retail,i,T,1452
unknown,misuse,internal,global,public,c,T,1453
small,misuse,partner,lac,entertainment,i,F,1454
unknown,malware,internal,na,information,i,F,1455
small,hacking,external,apac,transportation,c,T,1456
small,hacking,external,na,information,i,T,1457
unknown,error,partner,lac,entertainment,a,F,1458
large,hacking,external,emea,transportation,a,F,1459
unknown,misuse,internal,na,public,i,T,1460
small,error,internal,apac,construction,i,F,1461
small,hacking,external,emea,professional,c,T,1462
small,hacking,external,emea,information,c,T,1463
large,error,partner,emea,construction,i,F,1464
large,error,internal,na,educational,c,T,1465
unknown,misuse,internal,na,healthcare,i,T,1466
small,hacking,partner,apac,professional,c,F,1467
unknown,misuse,internal,na,healthcare,c,T,1468
small,malware,internal,emea,public,i,F,1469
small,hacking,partner,lac,realestate,a,F,1470
small,misuse,internal,na,healthcare,c,T,1471
large,misuse,external,emea,accommodation,i,F,1472
unknown,malware,external,emea,manufacturing,a,F,1473
large,misuse,internal,na,finance,i,T,1474
large,error,internal,apac,public,c,T,1475
unknown,malware,internal,na,trade,a,F,1476
unknown,hacking,external,apac,accommodation,c,F,1477
large,hacking,partner,apac,information,c,F,1478
large,misuse,partner,apac,construction,i,F,1479
large,malware,internal,apac,information,c,F,1480
large,social,internal,na,mining,a,F,1481
unknown,error,external,emea,accommodation,a,F,1482
unknown,misuse,internal,na,public,c,T,1483
small,misuse,internal,na,healthcare,c,T,1484
small,unknown,external,emea,retail,c,T,1485
large,unknown,external,na,healthcare,c,T,1486
large,misuse,internal,na,realestate,i,F,1487
large,error,internal,global,manufacturing,c,T,1488
small,hacking,external,apac,information,c,T,1489
large,malware,external,na,trade,i,T,1490
large,error,internal,na,public,c,T,1491
unknown,social,external,emea,administrative,i,F,1492
small,error,internal,apac,professional,c,T,1493
large,hacking,external,na,healthcare,c,T,1494
small,error,internal,emea,professional,c,T,1495
large,error,partner,lac,mining,i,F,1496
large,malware,external,lac,construction,c,F,1497
unknown,error,internal,apac,public,c,T,1498
large,error,internal,na,manufacturing,c,T,1499
small,misuse,internal,na,retail,i,T,1500
unknown,hacking,external,emea,public,a,F,1501
unknown,malware,internal,emea,administrative,a,F,1502
small,malware,internal,emea,management,c,F,1503
large,error,internal,apac,information,c,T,1504
small,hacking,internal,na,transportation,a,F,1505
unknown,malware,partner,na,finance,a,F,1506
large,hacking,external,lac,professional,i,F,1507
unknown,malware,internal,apac,healthcare,i,F,1508
small,hacking,internal,emea,healthcare,a,F,1509
small,error,internal,apac,professional,i,F,1510
unknown,misuse,partner,emea,manufacturing,i,F,1511
small,misuse,internal,na,healthcare,c,T,1512
small,misuse,internal,lac,accommodation,i,F,1513
large,hacking,external,na,healthcare,c,T,1514
unknown,malware,partner,na,utilities,c,F,1515
small,social,external,na,healthcare,i,T,1516
small,misuse,internal,lac,healthcare,a,F,1517
large,misuse,partner,emea,mining,c,F,1518
unknown,social,external,na,healthcare,i,T,1519
unknown,hacking,internal,na,otherservices,c,F,1520
large,error,internal,na,public,c,T,1521
small,error,internal,lac,realestate,i,F,1522
small,hacking,external,na,public,c,T,1523
large,misuse,internal,na,healthcare,i,T,1524
small,error,internal,na,trade,c,T,1525
small,error,internal,na,finance,c,T,1526
large,hacking,external,emea,educational,c,T,1527
small,misuse,internal,na,accommodation,i,T,1528
small,malware,partner,na,realestate,c,F,1529
large,error,internal,na,educational,c,T,1530
small,error,internal,lac,accommodation,c,F,1531
small,error,internal,na,professional,c,F,1532
small,malware,partner,emea,accommodation,i,F,1533
large,misuse,internal,na,agriculture,i,T,1534
unknown,error,internal,apac,educational,a,F,1535
large,malware,partner,na,retail,a,F,1536
small,social,external,na,professional,i,T,1537
unknown,malware,external,apac,retail,i,T,1538
small,misuse,internal,lac,educational,a,F,1539
unknown,misuse,internal,na,professional,c,T,1540
large,error,internal,emea,educational,c,T,1541
unknown,misuse,external,apac,accommodation,c,F,1542
small,hacking,external,emea,healthcare,i,F,1543
large,error,external,lac,realestate,i,F,1544
small,error,internal,na,healthcare,c,T,1545
small,error,partner,apac,public,c,F,1546
large,hacking,external,na,retail,c,T,1547
small,misuse,internal,na,healthcare,c,T,1548
small,social,partner,emea,agriculture,c,F,1549
small,error,partner,apac,administrative,c,F,1550
large,misuse,external,na,public,c,F,1551
large,misuse,external,emea,agriculture,a,F,1552
small,error,internal,apac,healthcare,c,F,1553
unknown,error,external,na,realestate,c,F,1554
large,hacking,external,lac,information,c,F,1555
unknown,error,internal,na,public,c,T,1556
small,error,partner,apac,realestate,i,F,1557
large,error,partner,lac,entertainment,c,F,1558
large,misuse,internal,na,utilities,c,F,1559
small,social,partner,na,trade,a,F,1560
small,malware,external,na,management,c,F,1561
large,misuse,internal,lac,retail,c,F,1562
large,social,partner,lac,transportation,c,F,1563
small,error,internal,na,healthcare,c,T,1564
large,hacking,external,na,information,c,T,1565
unknown,hacking,external,lac,retail,c,F,1566
large,error,internal,na,healthcare,c,T,1567
large,hacking,external,apac,manufacturing,c,T,1568
small,hacking,internal,na,professional,c,F,1569
small,hacking,external,emea,entertainment,c,T,1570
large,hacking,external,emea,educational,c,T,1571
large,unknown,external,na,finance,i,T,1572
small,malware,partner,apac,otherservices,i,F,1573
unknown,social,internal,apac,mining,i,F,1574
small,social,partner,apac,construction,c,F,1575
large,hacking,external,lac,retail,c,F,1576
unknown,misuse,internal,apac,educational,c,F,1577
small,hacking,external,na,realestate,c,T,1578
small,misuse,internal,na,healthcare,i,T,1579
large,error,internal,na,finance,c,T,1580
unknown,social,partner,emea,transportation,c,F,1581
large,misuse,internal,na,manufacturing,c,T,1582
large,malware,external,apac,transportation,a,F,1583
large,misuse,internal,emea,public,a,F,1584
large,hacking,external,na,finance,c,T,1585
small,hacking,internal,apac,educational,a,F,1586
small,malware,internal,na,otherservices,a,F,1587
large,unknown,external,emea,finance,c,T,1588
small,error,internal,na,manufacturing,c,T,1589
small,misuse,partner,na,educational,c,T,1590
large,social,external,emea,public,i,T,1591
large,malware,internal,lac,retail,c,F,1592
unknown,error,partner,emea,mining,c,F,1593
large,hacking,external,na,finance,c,T,1594
large,misuse,internal,apac,mining,i,F,1595
unknown,error,external,na,accommodation,a,F,1596
large,social,internal,na,healthcare,a,F,1597
large,error,internal,apac,finance,i,F,1598
unknown,misuse,external,na,transportation,i,F,1599
large,social,internal,apac,realestate,a,F,1600
large,social,external,na,healthcare,i,T,1601
large,misuse,internal,na,healthcare,c,T,1602
unknown,hacking,partner,lac,trade,c,F,1603
small,misuse,external,na,realestate,i,F,1604
large,hacking,internal,emea,finance,c,F,1605
small,error,internal,na,finance,c,F,1606
large,error,internal,na,information,c,T,1607
small,misuse,internal,na,healthcare,c,T,1608
small,misuse,internal,emea,public,c,T,1609
large,misuse,internal,emea,finance,c,T,1610
large,error,internal,na,retail,i,F,1611
large,social,internal,emea,administrative,a,F,1612
small,hacking,partner,lac,manufacturing,c,F,1613
small,error,internal,emea,public,c,T,1614
small,hacking,external,apac,professional,i,F,1615
unknown,misuse,internal,na,public,c,T,1616
large,hacking,external,na,healthcare,c,T,1617
small,error,internal,na,professional,c,T,1618
large,unknown,external,na,healthcare,c,T,1619
unknown,social,partner,lac,public,c,F,1620
small,misuse,internal,na,public,c,T,1621
small,error,internal,apac,finance,c,F,1622
unknown,social,internal,na,transportation,c,F,1623
unknown,error,internal,lac,professional,c,F,1624
small,error,internal,na,public,c,T,1625
small,hacking,external,emea,finance,c,T,1626
small,hacking,external,emea,information,c,T,1627
large,hacking,internal,na,entertainment,a,F,1628
large,hacking,external,lac,transportation,a,F,1629
large,social,partner,lac,trade,a,F,1630
small,hacking,external,na,retail,c,T,1631
unknown,malware,external,emea,mining,i,F,1632
small,social,partner,emea,construction,c,F,1633
unknown,error,partner,lac,transportation,c,F,1634
unknown,social,partner,lac,educational,a,F,1635
large,misuse,partner,apac,healthcare,a,F,1636
unknown,error,internal,na,healthcare,c,T,1637
small,misuse,internal,na,public,c,T,1638
small,error,internal,na,utilities,c,T,1639
large,malware,external,lac,professional,i,T,1640
large,unknown,internal,na,public,c,T,1641
unknown,social,internal,lac,administrative,a,F,1642
small,social,external,na,educational,i,T,1643
large,malware,partner,apac,utilities,i,F,1644
large,misuse,internal,na,healthcare,c,T,1645
unknown,error,internal,apac,public,c,T,1646
large,hacking,external,emea,administrative,a,F,1647
large,hacking,external,emea,professional,i,T,1648
large,social,external,na,manufacturing,i,T,1649
unknown,error,internal,na,healthcare,c,T,1650
small,error,internal,emea,educational,c,T,1651
small,misuse,internal,na,public,c,T,1652
large,social,internal,emea,otherservices,c,F,1653
small,error,internal,lac,educational,c,F,1654
small,misuse,internal,na,otherservices,c,T,1655
large,misuse,internal,na,healthcare,c,T,1656
large,social,external,apac,healthcare,c,F,1657
large,error,internal,na,transportation,c,T,1658
small,hacking,external,apac,finance,c,T,1659
large,unknown,external,na,retail,c,T,1660
unknown,error,internal,na,public,c,T,1661
small,hacking,external,na,information,c,T,1662
unknown,misuse,internal,na,transportation,i,T,1663
large,hacking,internal,emea,information,c,F,1664
large,social,external,na,healthcare,i,T,1665
unknown,unknown,external,na,finance,c,T,1666
large,social,internal,apac,management,a,F,1667
small,social,partner,lac,information,a,F,1668
large,error,internal,apac,public,c,T,1669
small,error,internal,na,professional,c,T,1670
unknown,malware,external,na,educational,i,T,1671
unknown,misuse,internal,na,healthcare,i,T,1672
unknown,social,external,lac,manufacturing,i,F,1673
small,social,external,apac,educational,c,F,1674
small,misuse,internal,na,healthcare,c,T,1675
small,unknown,unknown,na,professional,c,T,1676
unknown,malware,external,lac,agriculture,a,F,1677
large,error,internal,na,public,c,T,1678
unknown,misuse,internal,na,trade,i,T,1679
small,hacking,external,emea,healthcare,c,T,1680
large,misuse,external,apac,otherservices,i,F,1681
small,error,external,na,trade,i,F,1682
small,error,external,na,information,c,T,1683
small,malware,partner,lac,retail,a,F,1684
small,unknown,external,na,retail,c,T,1685
small,malware,partner,emea,entertainment,i,T,1686
small,error,external,na,otherservices,c,T,1687
large,malware,external,na,retail,i,T,1688
unknown,error,partner,na,manufacturing,c,F,1689
large,social,external,na,professional,i,T,1690
unknown,malware,internal,emea,entertainment,a,F,1691
large,error,internal,na,retail,c,T,1692
large,social,external,na,entertainment,i,F,1693
unknown,hacking,partner,apac,agriculture,a,F,1694
small,social,partner,na,agriculture,a,F,1695
large,malware,internal,emea,information,c,F,1696
small,hacking,external,na,educational,i,T,1697
unknown,social,external,emea,educational,i,F,1698
large,hacking,partner,apac,healthcare,a,F,1699
small,malware,external,na,healthcare,a,F,1700
small,hacking,external,na,administrative,i,F,1701
large,social,partner,apac,educational,i,F,1702
unknown,misuse,internal,na,professional,c,T,1703
large,error,internal,na,educational,c,T,1704
large,malware,external,emea,retail,c,F,1705
small,misuse,partner,lac,realestate,a,F,1706
small,error,external,emea,realestate,c,F,1707
small,misuse,partner,na,administrative,c,F,1708
unknown,misuse,partner,emea,management,i,F,1709
large,malware,partner,lac,utilities,c,F,1710
large,social,external,emea,retail,i,F,1711
small,error,internal,na,finance,c,T,1712
large,malware,partner,emea,realestate,i,F,1713
small,error,internal,apac,professional,c,T,1714
